name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
205,205,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/205_silhouette_contour.svg,cm,13.3,8.1,1,FALSE,Item_205::Final_Geom,Item_205::Face_Curves,Item_205::Original_Curve,AutoCAD::Item_205::Scaled_Curve,AutoCAD::Item_205::Curve_Bbox,Item_205::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/205_silhouette.png,800,689,27,11,786,661,27,13,11,27
206,206,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/206_silhouette_contour.svg,cm,11.7,6.5,6.4,TRUE,Item_206::Final_Geom,Item_206::Face_Curves,Item_206::Original_Curve,AutoCAD::Item_206::Scaled_Curve,AutoCAD::Item_206::Curve_Bbox,Item_206::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/206_silhouette.png,800,679,49,73,758,647,49,41,73,31
208,208,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/208_silhouette_contour.svg,cm,1,1,1,FALSE,Item_208::Final_Geom,Item_208::Face_Curves,Item_208::Original_Curve,AutoCAD::Item_208::Scaled_Curve,AutoCAD::Item_208::Curve_Bbox,Item_208::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/208_silhouette.png,387,800,25,63,354,763,25,32,63,36
209,209,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/209_silhouette_contour.svg,cm,8.4,19.7,8.4,TRUE,Item_209::Final_Geom,Item_209::Face_Curves,Item_209::Original_Curve,AutoCAD::Item_209::Scaled_Curve,AutoCAD::Item_209::Curve_Bbox,Item_209::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/209_silhouette.png,371,800,23,20,344,776,23,26,20,23
210,210,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/210_silhouette_contour.svg,cm,9.5,9.5,9.5,TRUE,Item_210::Final_Geom,Item_210::Face_Curves,Item_210::Original_Curve,AutoCAD::Item_210::Scaled_Curve,AutoCAD::Item_210::Curve_Bbox,Item_210::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/210_silhouette.png,756,800,32,18,733,795,32,22,18,4
211,211,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/211_silhouette_contour.svg,cm,7,17.8,7,TRUE,Item_211::Final_Geom,Item_211::Face_Curves,Item_211::Original_Curve,AutoCAD::Item_211::Scaled_Curve,AutoCAD::Item_211::Curve_Bbox,Item_211::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/211_silhouette.png,360,800,23,0,305,788,23,54,0,11
212,212,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/212_silhouette_contour.svg,cm,12.5,19.3,12.5,TRUE,Item_212::Final_Geom,Item_212::Face_Curves,Item_212::Original_Curve,AutoCAD::Item_212::Scaled_Curve,AutoCAD::Item_212::Curve_Bbox,Item_212::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/212_silhouette.png,446,800,9,8,425,778,9,20,8,21
213,213,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/213_silhouette_contour.svg,cm,13.4,18.5,13.4,TRUE,Item_213::Final_Geom,Item_213::Face_Curves,Item_213::Original_Curve,AutoCAD::Item_213::Scaled_Curve,AutoCAD::Item_213::Curve_Bbox,Item_213::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/213_silhouette.png,467,800,19,53,446,781,19,20,53,18
214,214,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/214_silhouette_contour.svg,cm,14.1,36.9,14.1,TRUE,Item_214::Final_Geom,Item_214::Face_Curves,Item_214::Original_Curve,AutoCAD::Item_214::Scaled_Curve,AutoCAD::Item_214::Curve_Bbox,Item_214::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/214_silhouette.png,325,800,31,13,300,782,31,24,13,17
215,215,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/215_silhouette_contour.svg,cm,7,20.9,7,TRUE,Item_215::Final_Geom,Item_215::Face_Curves,Item_215::Original_Curve,AutoCAD::Item_215::Scaled_Curve,AutoCAD::Item_215::Curve_Bbox,Item_215::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/215_silhouette.png,342,800,52,12,295,776,52,46,12,23
