name,contour_path,units,w,h,d,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
78,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/78_silhouette_contour.svg,,,,,Item_78::Final_Geom,Item_78::Face_Curves,Item_78::Original_Curve,AutoCAD::Item_78::Scaled_Curve,AutoCAD::Item_78::Curve_Bbox,Item_78::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/78_silhouette.png,2000,3000,393,519,1671,2204,393,328,519,795
79,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/79_silhouette_contour.svg,,,,,Item_79::Final_Geom,Item_79::Face_Curves,Item_79::Original_Curve,AutoCAD::Item_79::Scaled_Curve,AutoCAD::Item_79::Curve_Bbox,Item_79::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/79_silhouette.png,2000,3000,239,580,1744,2212,239,255,580,787
80,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/80_silhouette_contour.svg,,,,,Item_80::Final_Geom,Item_80::Face_Curves,Item_80::Original_Curve,AutoCAD::Item_80::Scaled_Curve,AutoCAD::Item_80::Curve_Bbox,Item_80::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/80_silhouette.png,2000,3000,390,556,1636,2234,390,363,556,765
81,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/81_silhouette_contour.svg,,,,,Item_81::Final_Geom,Item_81::Face_Curves,Item_81::Original_Curve,AutoCAD::Item_81::Scaled_Curve,AutoCAD::Item_81::Curve_Bbox,Item_81::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/81_silhouette.png,2000,3000,578,884,1477,1953,578,522,884,1046
82,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/82_silhouette_contour.svg,,,,,Item_82::Final_Geom,Item_82::Face_Curves,Item_82::Original_Curve,AutoCAD::Item_82::Scaled_Curve,AutoCAD::Item_82::Curve_Bbox,Item_82::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/82_silhouette.png,561,417,76,96,490,314,76,70,96,102
83,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/83_silhouette_contour.svg,,,,,Item_83::Final_Geom,Item_83::Face_Curves,Item_83::Original_Curve,AutoCAD::Item_83::Scaled_Curve,AutoCAD::Item_83::Curve_Bbox,Item_83::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/83_silhouette.png,495,394,87,26,388,350,87,106,26,43
84,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/84_silhouette_contour.svg,,,,,Item_84::Final_Geom,Item_84::Face_Curves,Item_84::Original_Curve,AutoCAD::Item_84::Scaled_Curve,AutoCAD::Item_84::Curve_Bbox,Item_84::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/84_silhouette.png,466,408,49,74,414,325,49,51,74,82
85,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/85_silhouette_contour.svg,,,,,Item_85::Final_Geom,Item_85::Face_Curves,Item_85::Original_Curve,AutoCAD::Item_85::Scaled_Curve,AutoCAD::Item_85::Curve_Bbox,Item_85::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/85_silhouette.png,590,434,80,46,354,402,80,235,46,31
86,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/86_silhouette_contour.svg,,,,,Item_86::Final_Geom,Item_86::Face_Curves,Item_86::Original_Curve,AutoCAD::Item_86::Scaled_Curve,AutoCAD::Item_86::Curve_Bbox,Item_86::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/86_silhouette.png,378,453,68,56,284,347,68,93,56,105
87,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/87_silhouette_contour.svg,,,,,Item_87::Final_Geom,Item_87::Face_Curves,Item_87::Original_Curve,AutoCAD::Item_87::Scaled_Curve,AutoCAD::Item_87::Curve_Bbox,Item_87::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/87_silhouette.png,329,482,19,36,298,403,19,30,36,78
